Username,Artist,Album,Spotify
Malt,Harvey Mandel,Baby Batter,https://open.spotify.com/album/4vBNUIb00XGfpN5UcHaM6c?si=gRHHn49MS2abAw3_BTxjCQ
Lateworm,Funkadelic,Maggot Brain,https://open.spotify.com/album/3ywVzrwMQ3Kq43N9zBdBQm?si=L4saTu6ZSdCfZXm-a-o3Sg
Malt,Blue Oyster Cult,Fire of Unknown Origin,https://open.spotify.com/album/7v4kEpVtppoMm80m43lGzt?si=c_fSMj9ASeK61h6Pr1FtaQ
Bloodfistzero,Archspire,Bleed the future,https://open.spotify.com/album/5lWIRgkSy5WWOMrZ7xxygH?si=VceUcrpESdWGFDXAfwud7w&utm_source=copy-link
Bloodfistzero,Ghost,IMPERA,https://open.spotify.com/album/3fn4HfVz5dhmE0PG24rh6h?si=e9AAq8KsTnev5QI3XRg1Sw&utm_source=copy-link
Athiela,Smashing Pumpkins,Mellon collie and the infinite sadness,https://open.spotify.com/album/55RhFRyQFihIyGf61MgcfV?si=mRkzUKjkRTS5U2fVu8ov7A
Malt,Marvin Gaye,What's Going On,https://open.spotify.com/album/2v6ANhWhZBUKkg6pJJBs3B?si=cVQGWSjeQcillCLI_u4k4w
Malt,John Hartford,Aereo-Plane,https://open.spotify.com/album/5sGlw68IwialC58eOpnUBN?si=hLx8rsFcT5mq3zGKLTtA9g
Malt,Santana,Abraxas,https://open.spotify.com/album/1CHUXwuge9A7L2KiA3vnR6?si=w1GpuLY6SGWWv8h76svcPg
Athiela,Magma,Mekanïk Destruktïw Kommandöh,https://open.spotify.com/album/1hWwZZvGF4CGT9AnSAPXlR?si=bKEJ4m6VQ1uMKnHRGvNx8Q
Malt,Blue Oyster Cult,Blue Oyster Cult,https://open.spotify.com/album/6xxUsZyckaV0shjOJ0cVpf?si=xO4NdusAQLygnBZcHopqkw
Malt,Blue Oyster Cult,Secret Treaties,https://open.spotify.com/album/0cs4Eli5HS6BomzJ9yfrAw?si=U86zRqjcTU6W1LQ0rxU53A
Malt,Ry Cooder,Paradise and Lunch,https://open.spotify.com/album/0i7EzDfNC1tfBRpbKkYbrt?si=ifAB4uhnQCGE4IjufGz69w
Josh,Sweet Trip,Velocity : Design : Comfort,https://open.spotify.com/album/0eUUQ4rly8Q8PyJPWLgde2?si=OT6c_455QgOEvNIbErWGBg
Josh,Aphex Twin,Syro,https://open.spotify.com/album/6oRuinkJdTge4hpTuClEF8?si=kbDYX9tCQUm7u7MbgzhzVw
Bob/Loki_gee,Run the Jewels,RTJ4,https://open.spotify.com/album/6cx4GVNs03Pu4ZczRnWiLd?si=tW1CAZJLSnm4J3TuxuWkDQ
Josh,King Krule,The Ooz,https://open.spotify.com/album/7D0onfXwlFnOvm1gF3nEdw?si=oFRGRTChS_yiqZg43bm_yA&utm_source=copy-link
Athiela,Cocteau twins,Heaven or Las Vegas,https://open.spotify.com/album/5lEphbceIgaK1XxWeSrC9E?si=uafdtQE5RE6wwHV_LOfJQQ
zxc,Rïcïnn,Lïan,https://open.spotify.com/album/74rMZ7zDtqpDngC5Xvm3r6?si=TDRunJh1Qn-LG1hIPWFuwA
Athiela,Jean-Luc Ponty,Cosmic messenger,https://open.spotify.com/album/6EfLu75i2jqhN4s4xlqh6m?si=DH2boeIGS7GH46uAx2Cs3w
Project,Viza,Carnivalia,https://open.spotify.com/album/4IwkpI3q4leC8sv7qRiQi3?si=-qAdAcaUQtmxUlVQwf_scQ&utm_source=copy-link
IWearTheShpants,Ayreon,Into The Electric Castle (20th Anniversary Remix),https://open.spotify.com/album/50N66IWzdItjLTlVL3cm1q?si=cOtVKL9CQ76nNdUKI0E0bw
Athiela,Daliborovo Granje,Hainin,https://open.spotify.com/album/54N18QUANPfExF7diSygC8?si=wTZsQ-hYSaKaPtyL2hQIjg
Lateworm,Jim James,Eternally Even,https://open.spotify.com/album/2wYw4vZlu7XwvtdQPRmsmL?si=K5KZ29ehQrWDy20fXlg8ZA
zxc,Avishai Cohen,Aurora,https://open.spotify.com/album/1KG80lbbuBCXolc9iWO7Fw?si=tNF_3uG7Q3OGZr2s-Rxghg
zxc,Tom Misch & Yussef Dayes,What Kinda Music,https://open.spotify.com/album/6iOCv7oGL5sGi2aVnRz2BI?si=-mRsp1wJRoW3pfgAZQqY3g
Mahnogard,Chris Isaak,Heart Shaped World,https://open.spotify.com/album/5Das42Qx4AoU9iT4M7PW3U?si=krfsLtTyQv28MEG_K5aiKw
Mahnogard,Junior Brown,Guit With It,https://open.spotify.com/album/1NdtK0kyWRwK0uksE5cl4q?si=GTcOQZ1nTx6lE9vffVfzTg
Mahnogard,Jimmy Martin & Ralph Stanley,First Time Together,https://open.spotify.com/album/400CoAek8RpV1dwk6bE6Jt?si=l5xz_rOXT26uh0MIjxlKTw
Josh,The Mars Volta,Deloused in the Comatorium,https://open.spotify.com/album/5yq5H94vrdtWGlas2RZjsC?si=x9-Gcw9zQ36oYKfpOdPMoA
Josh,Ty Segall,Manipulator,https://open.spotify.com/album/2pIFOXH6DxLbWcUO19mbXa?si=vi1cwedqS7Gv27VSBKKsvQ
Malt,Rolling Stones,Exile on Main Street,https://open.spotify.com/album/5U4dnRZsfW8NmwBBkELFPh?si=1hzIBEBZRSuZD8aqdsLJOg
purpledaydreams,grandson,Death of an Optimist,https://open.spotify.com/album/0n5LA95QYWAs9wwkkA8Sji?si=xXQFyT-HQuqZEw0OYN407Q
Bob,Nine Inch Nails,The Fragile,https://open.spotify.com/album/4uiVwLbTzE6VMkXpaDAwB8?si=QrR3w7SGQDqzfDQqndeD-w&utm_source=copy-link
Athiela,Dead can Dance,Wake,https://open.spotify.com/album/5z4Q2U6gWYPjtwnTdlUM4O?si=2LZ6VQEvQmqqA6qKUdZ-4w
Darkghostreaper,Shadow of Intent,Elegy,https://open.spotify.com/album/1YwAkYsGTgNMWaayCgxjsb?si=dQ9BbIfyR9efI20aM1RSYw
Mahnogard,Emmylou Harris,Last Date,https://open.spotify.com/album/21UAuk2Gob5d74KvuBRCll?si=kDx1QoWNRqu-FBVAEGfqoA
Chase/Goblin/chasegoblin,Modest Mouse,The Lonesome Crowded West,https://open.spotify.com/album/5mvHTVy1iUIkAflIufoOpj?si=_okbYBKQT1StF2ZHKz-PmQ
Chase,Glass Beach,The First Glass Beach Album,https://open.spotify.com/album/5GOoswCqZQiq9gbjSHkzMq?si=Z6ZQCX69SYCZFa-dRPnSBA
Nutmeg,Wickerbird,The Leaf Maker,https://open.spotify.com/album/2xuL8iXmIOWOkgVAkKaxpQ?si=tG8Na7vpTweMvkHkD0FqtA
Athiela,Espers,The weed tree,https://open.spotify.com/album/1IoakdOBKYcDcTSHdA2ejE?si=ysdU-4dRRZOCWg7W0ajyNA
illusion,Deftones,Self Titled,https://open.spotify.com/album/6252G7bGCVijXlqAjtjeDP?si=HWkrmNFTR3-41ih9KYizXQ
zxc,Avishai Cohen Trio,Gently Disturbed,https://open.spotify.com/album/3t8rlTP37FeHrCHVeFByEn?si=hsPiIbVYSx62GyLeNV0teg
Mich,Aurora,All My Demons Greeting Me as a Friend,https://open.spotify.com/album/0ltlJlYNzuXoMMv7fie9D9?si=d5w9rVQfQX2Ig0ePeXPfZA
VonGrims,Arch Enemy,War Eternal,https://open.spotify.com/album/3qzrNVuUyOJxfzMYRCh5qN?si=R9PCvTzHQw-iF22cicvuqA
Nutmeg,Men I Trust,Oncle Jazz,https://open.spotify.com/album/4W4gNYa4tt3t8V6FmONWEK?si=lPTT6cBSSDWl8R9MEsa44g
Trombone,Pain of Salvation,Remedy Lane,https://open.spotify.com/album/5wdXBbdGH90qfKoWBErbdw?si=B_p4kKAJRHeKEJhhMNHABQ
Nutmeg,Milo,So The Flies Don't Come,https://open.spotify.com/album/45yNkza8JuekpuH6uvThbQ?si=dcKFZrJ2QtWvnY0adlKy2g
Tone,The Moody Blues,Days of Future Passed,https://open.spotify.com/album/7IIy4elDOHGHr6qemgpa9i
Tone,Ólafur Arnalds,Eulogy for Evolution,https://open.spotify.com/album/0CCmRxJMfXmuJMksYEWK3j
Tone,King Crimson,Red,https://open.spotify.com/album/13dGZzRzFoejmyVXAbTPAH
Tone,Beardfish,Från En Plats Du Ej Kan Se,https://open.spotify.com/album/6saHXEBB4wlmJN2mFBTpvg
Athiela,Shahbaz hussain Helen Anahita Wilson,Diwan,https://open.spotify.com/album/5kDMJ5L4NHCyCwVG6wgdAL?si=UOuTcSsCTuC572rksjLA0Q
SunsetChaser,AWOLNATION and Various Artist,"My Echo, My Shadow, My Covers & Me",https://open.spotify.com/album/7AERvdOdM3KBn5XaCs42dW?si=NZ_9HcoBRxSE0xYtLzEUbA
Trombone,Nightmares on Wax,Carboot Soul,https://open.spotify.com/album/5pwdeiIEpfn2TF7M1J21MR?si=xfRWlW2BSyaxCQqPiHK21w
SunsetChaser,Mike and the Moonpies,Cheap Silver and Solid Country Gold,https://open.spotify.com/album/2trPFAz1jzWrgEoXBarIZc?si=O0mGRamDSd2Ckcf6PSm0Zw
Curt's Album Party,The Offspring,Smash,https://open.spotify.com/album/7IDywTRaCI8qzS3X8tNU3x?si=79yMPwGmTuie3TYO-9kCoA
Trombone,Gazpacho,Night,https://open.spotify.com/album/2ROXZGeVGgBKCJApvAjs8y?si=pojx_vq5QQanDaZYFfGq5g
Trombone,My Dying Bride,The Angel and the Dark River,https://open.spotify.com/album/7lPBSJlgg96SWGOOCNqPLv?si=x5qoWUUiRim3O7-Laf2RzA
Athiela,Björk,Medulla,https://open.spotify.com/album/12n9nyAJ5Q4FHRldrciIPG?si=FI7zQgmqT_C-O0Dp37kwBg
Athiela,Lumsk,Troll,https://open.spotify.com/album/3OCW4y1Qd61DHlPmRe11uv?si=0QiRBixeSPyOzaLA3rFEfw
Mikael,Modwheelmood,Pearls to Pigs,https://open.spotify.com/album/2o74CGinJ3EFcOtur6nHzo?si=Hi6zLPI6SCOJ3egScaQbqw
Mikael,King 810,Suicide King,https://open.spotify.com/album/0OyUIbfK7QmrsLgTR8rBLv?si=hv-1s1xeQqOh9YMeWJjjeg
Mikael,My Chemical Romance,The Black Parade Is Dead!,https://open.spotify.com/album/7N29psReKsIR8HOltPJqYS?si=0wFdXuOkTOOFhBFO2SyiRA
IWearTheShpants,Blue October,Home,https://open.spotify.com/album/41kJiMFPVIfh06Ojk8Udxt?si=b1yb33kHRk-GXCvlV1sXYQ
SunsetChaser,Young Summer,Siren,https://open.spotify.com/album/5gEAFhTQ8yVAWaDUaC6fGh?si=OJKW_RxdRby8dt72GSXwLg
