Username,Artist,Album,Spotify
OneGuy83,Iron Maiden,Number of the Beast,https://open.spotify.com/album/5S3gls8Kjn8KVmqlIDEBbO?si=UfEDh4o3TQeUjGO_lNU-xw
Bob Clarke,Pantera,The great southern treadkill,https://open.spotify.com/album/4LdquqwQoyu1pE6Vq8PIha?si=qNwo6cDQRkaIkizQnBn54A
Bob Clarke,Nine Inch Nails,Year Zero,https://open.spotify.com/album/0hdOzMPrGJiGjX3epBP8NN?si=5ZKhwt6IS2idAsqhIurifw
Matt P,Infected Mushroom,The Gathering,https://open.spotify.com/album/5Oqb46QRDn3RpaWToqjuzk?si=7KSkq-tUQSiOb3MPTgYhNw
Josh Dimarci,Greta Van Fleet,From the fires,https://open.spotify.com/album/6uSnHSIBGKUiW1uKQLYZ7w?si=eRxjm1XjTWGCtrsR42WOmQ
Lateworm,Leonard Cohen,The Future,https://open.spotify.com/album/7E4FRoU4Pk0WuO1SQMV1Bo?si=Y2uzmi3WQ3OcSft1je4ahg
CorbinK,NWA,Straight Outta Compton,I am sure you can find it :)
Lateworm,Peregrine Falls,Peregrine Falls,https://open.spotify.com/album/1KpxtJjZLh1VYyNtLXjQvD?si=lVAxTREWRUmUgYfRxvqOZA
Lateworm,Rush,Vapor Trails,https://open.spotify.com/album/26GJ9kVXxI9s18g20LX3i2?si=klyfq8TMR829Tyk3_gcWoA
VonGrims,The Hu,The Gereg,https://open.spotify.com/album/6YIA45KnCATXRzPFOeA9S8?si=fuJ_7TjwTp2km1veO7oi8w
Lateworm,Jean-Michel Jarre,Oxygene,https://open.spotify.com/album/469JDZgyHrDdZT25FeLKgT?si=tMa9wfn8SKOsmaQENuvB-A
Lateworm,Greta Van Fleet,From The Fires,https://open.spotify.com/album/6uSnHSIBGKUiW1uKQLYZ7w?si=yIq1jQX1SbWAooT06RJCgw
Matt P,Giant Squid,Metridium Fields,https://open.spotify.com/album/2qgAwtcaJl19zcGfEAWJky?si=BAEqxZ-RRsOsVFxDbLs_qw
Cody Chance,Howard Shore,The Lord of the Rings Symphony,https://open.spotify.com/album/65ZyhBBNR4hKX89xBXvDuA?si=sUP5LQKMRC-q-uPQf_cwPw
Cody/Shpants,Apocalyptica,Cell-0,https://open.spotify.com/album/1H3J2vxFHf0WxYUa9iklzu?si=7lakkREbS5G4Qvhbl2Zndg
VonGrims,Powerwolf,Best of the Blessed,https://open.spotify.com/album/4NXUfOL0Y0GFCyIivAhJUu?si=n2tJQEg6Sl6AnRTd2tGFeg
Hairymuffinman,JoeJas,Four Wing island,https://open.spotify.com/album/7qqALq4DkYn9IYUvUvKcoI
OneGuy83,Green Day,American Idiot,https://open.spotify.com/album/5dN7F9DV0Qg1XRdIgW8rke?si=yliGzI0KT1CZz96Exu-F2A
VonGrims,Sabaton,The Last Stand,https://open.spotify.com/album/14OgR04PHXULz1svvsol8L?si=OYX7ekEyQ6aFeKIj0PL6lw
VonGrims,Orden Ogan,RavenHead,https://open.spotify.com/album/6qF1A44UPRnXYLshqAnzWB?si=tIQRRYkKQQCWGvwg2SHNEw
VonGrims,AmonAmarth,Surtur Rising,https://open.spotify.com/album/6bz1yWjzSUlsXXlih2fjyB?si=265LjGIYTQy25nInmaN3LQ
Bob Clarke,Tool,Fear Inocculum,https://open.spotify.com/album/7acEciVtnuTzmwKptkjth5?si=Nw2ZvG4YSXqvm4ALo0SXVQ
Bob Clarke,Puscifer,Existential Reckoning,https://open.spotify.com/album/4eYJzO460ZGaEFNJ4YCizR?si=AMmbVGeQSoGOcz_icb7rxw
Lateworm,Black Sabbath,Paranoid,https://open.spotify.com/album/6r7LZXAVueS5DqdrvXJJK7?si=E4jT07xAQCGCnLJbJK4MWw
Lateworm,Ry Cooder and Manuel Galbán,Mambo Sinuendo,https://open.spotify.com/album/7Bbr1kphzvv9LEUoAFMmkj?si=1w-IeLvbT06KfPbz0dVfRw
Lateworm,Black Crowes,Lions,https://open.spotify.com/album/3QK61AhYi47YTHVOHf4bbe?si=IqEVHMkvReequBFTkIdNfQ
Bob Clarke,Nine inch nails,The slip,https://open.spotify.com/album/6Et26zmZ0Gu4ocrxyU3dSp?si=V8mT2pzdT_2AJAqmN5tIbA&utm_source=copy-link
Bob Clarke,Therion,Deggial,https://open.spotify.com/album/3Qomy9u4HNZqcNLwgSXmDq?si=Ze_2i_WEQua4bE0d9Kd3Lg
VonGrims,PowerWolf,The Sacrament of Sin,https://open.spotify.com/album/2t3dociTSaDTmqIlN21rmC?si=oAt_aR1SSKaVh5DBz8i59g
VonGrims,Testament,Brotherhood of the snake,https://open.spotify.com/album/70oAOzrUemHFWB8VKToEtu?si=jJ14mUM3QGe0FP4y441qxQ
Scott McNei,Pearl Jam,Ten,https://open.spotify.com/album/5B4PYA7wNN4WdEXdIJu58a
Bob Clarke,Metallica,the black album,https://open.spotify.com/album/6QdCohkHKNTVoaSx1ZzitH?si=xmct4k2XSBOFfvGHpMMBfQ
VonGrims,HammerFall,Renegade,https://open.spotify.com/album/5jfTMdqv6SHeJxnJ2C8arV?si=_34ntSXcRB2H2SYqVpQdTg
sophia aristotelis,mazzy star,so tonight that i might see,https://open.spotify.com/album/5K18gTgac0q6Jma5HkV1vA
sophia aristotelis (2),rush,permanent waves,https://open.spotify.com/album/3nUNxSh2szhmN7iifAKv5i
IWearTheShpants,Arjen Anthony Lucassen's Star One,Space Metal,https://open.spotify.com/album/5FJ4iBssG6V530ms8YvGIa?si=wxK4Q4fpRpqsPACJa0i4qw
VonGrims,Powerwolf,Mettalum Nostrum,https://open.spotify.com/album/3mm588N08qvVwMXZFBWSfK?si=_Tju2z6jSBezhqozvjGuBg
VonGrims,Tyr,Valkyrja,https://open.spotify.com/album/651Ol2qId4W1G0BUlJhwZU?si=8CyQLnftSaasGcF6wtmVHQ
subliminal,KMFDM,Symbols,https://open.spotify.com/album/6g99frcxtUThvTjTwo9LfC?si=ytYhyE6ES8ig7hhtoS_zYg
subliminal,NiN,PHM,https://open.spotify.com/album/3umFHeEpc4yLXtrRcv9gLN?si=X7eTQJpCTtKHBgOf0hLWrA
Curtis,The Ocean,Pelagial,https://open.spotify.com/album/6R9cHdJ7hljxDDYq2tUCdO?si=5qJPg9gXRkCtT-Bg0_FJhA
VonGrims,Dmitri Shostikovich,Dmitri Shostakovich's 7th Symphony,https://open.spotify.com/album/2yR4NEMTGmu6P9V0pWGWfB?si=8W8aOerxTCuPpQ_-mNqmmw
John80,The Doors,The Doors,https://open.spotify.com/album/1jWmEhn3ggaL6isoyLfwBn?si=8YKqZgc0TLuYvlgALGbSDA&utm_source=copy-link&dl_branch=1
John80,Pink Floyd,The Division Bell,https://open.spotify.com/album/5F0IQXuHfTV7SBvZVnXERl?si=-Unn6PO2Q865GxsbqiKRUA&utm_source=copy-link&dl_branch=1
Bob Clarke,Down,Nola,https://open.spotify.com/album/04BvRPJwuDeuJ3DhbAw9Wg?si=zOo8YU-TQSW1VPL_Kf3XQg&dl_branch=1
Bob Clarke,Dream Theater,Systematic chaos,https://open.spotify.com/album/5ORyMl3oua4PPIWXZVN8kz?si=ELsAKXVhTxKeaaJ0Cbz2DQ&dl_branch=1
subliminal,Govinda,Amethyst Noise,kkkhkjh
IWearTheShpants,Lord of the Lost,Empyrean (Deluxe Edition),https://open.spotify.com/album/110bBkfQdpalkrieMRzyEF?si=NfSlBFdTRDOUm1Dn1ok_Hg&dl_branch=1
David,The Tragically Hip,Phantom Powe,I dont have one
Oksana Clarke,Melanie martinez,k - 12,https://open.spotify.com/album/1KerGJUScYGffP3Mjmjz8c?si=_--A7JJMQ7WS3RhmDfDlnQ&dl_branch=1
IWearTheShpants,Gothminister,Utopia,https://open.spotify.com/album/5w0PFZBEAVmGj5I0a0Tij0?si=YBOeDwwYQj67Zlg05O4fUA&utm_source=copy-link&dl_branch=1
Bob Clarke,Various artists,Kill Bill Vol 1 OST,https://open.spotify.com/album/1FpzNqDbugk77xUj0qOrtQ?si=csQyH0KOSHS5o-pYcBf4vA&utm_source=copy-link&dl_branch=1
Bob clarke,Opeth,Still life,https://open.spotify.com/album/5iA9ECcGKLN2BSxikuENma?si=Aw1AZ7AdSVSY9MRcr2VKNQ&utm_source=copy-link&dl_branch=1
Lateworm,Steely Dan,Countdown To Ecstasy,https://open.spotify.com/album/3VwMlhrc3Z0YON3UNV0VSC?si=o4Awpmu7StCAs_1iTiR4NA&dl_branch=1
bloodfistzero,Noora Louhimo Experience,Eternal Wheel of Time and Space,https://open.spotify.com/album/4HxA5iOFRS2pFK8wOhP46S?si=A6uTySVoREGtX7Xi3UIjWQ&dl_branch=1
Lateworm,The Avalanches,Since I Left You,https://open.spotify.com/album/0YtYaaO0aipyeQl0xhAWTO?si=oYs106owQeKnxlk0uTXk-A&dl_branch=1
Shawn/Project,Sonata Arctica,Takatalvi,https://open.spotify.com/album/1UMd2rfKiJ3cJYPQqk7Sq9?si=n8DgLj_xSxKmRg8ztOKndQ&utm_source=copy-link&dl_branch=1
Josh DI Marco,Polyphia,Renaissance,https://open.spotify.com/album/1Ki56K82avE7nTkZEyVIE7?si=u1u1EBJnQE2zp7oMmXdgiA&dl_branch=1
Lateworm,Dire Straits,Dire Straits,https://open.spotify.com/album/2rCS6Xwx32V27pvgFzLzlT?si=_3ZjLD0HRliNcrzLxpDDJw&dl_branch=1
Lateworm,Robert Cray,Strong Persuader,https://open.spotify.com/album/3rAh0jKm464FlwzqiFf8mC?si=nsQc7NSbReyXSfXcfGJarQ&dl_branch=1
Bob Clarke,The Tea Party,Transmission,https://open.spotify.com/album/1hBOzWPST7jrMG8YS2fkID?si=5NAqQkXzTVKiDn1wvZusww&dl_branch=1
